,User_ID,I/E,S/N,T/F,J/P
1,1,0.5242469986279805,0.4887590348720551,0.44809134006500245,0.5161067704359691
2,2,0.5343216150999069,0.4901319702466329,0.4454795936743418,0.4924745947122574
3,3,0.49592375655968984,0.4719152291615804,0.45668586790561677,0.4988223185141881
4,4,0.5301032880942027,0.46645426054795586,0.49322969814141593,0.5878314038117727
5,5,0.5223149508237839,0.4776935170094172,0.4461063265800476,0.5224882960319519
6,6,0.5271763096253077,0.47957011461257937,0.451228458682696,0.5192015459140141
7,7,0.518833863735199,0.48835618098576866,0.4466185003519058,0.5129116435845693
8,8,0.53681101500988,0.4888265073299408,0.4516339699427287,0.5073357770840327
9,10,0.5308827807505926,0.48566310703754423,0.4462076147397359,0.4956114461024602
10,11,0.5368110110362371,0.48882650037606556,0.451633957028389,0.5073357860247294
11,12,0.5263085673252742,0.49446746508280437,0.45029207070668537,0.502193346619606
12,13,0.5273947377999624,0.4802459975083669,0.45087139705816903,0.49121358096599577
13,14,0.5352779765923817,0.4755018214384715,0.4330048352479935,0.5152263611555099
14,15,0.5197346905867258,0.4620264252026876,0.48670588930447894,0.5859208146731059
15,16,0.5163612306118012,0.4851530472437541,0.44779596527417503,0.5105182538429897
16,17,0.5189831544955571,0.48679730693499246,0.4554342935482661,0.5055636495351792
17,19,0.5470420340696971,0.4874160349369049,0.4407535950342814,0.5102725644906362
18,20,0.5078384588162105,0.48234682778517407,0.44875203669071195,0.5068701485792796
19,21,0.5538772741953532,0.4945520758628845,0.44717859526475273,0.49582554002602897
20,22,0.4970252841711044,0.4702449679374695,0.42960777680079143,0.5097454597552618
21,23,0.5137024114529292,0.46585958103338876,0.4630517214536667,0.5103610416253408
22,24,0.5372061391671499,0.49194301962852477,0.4526224861542384,0.510183110833168
23,25,0.5561784386634827,0.4918008585770925,0.454438304901123,0.48923110763231914
24,26,0.5139471848805746,0.4856619934240977,0.4461681465307871,0.5101653347412746
25,27,0.51696650882562,0.4878854175408681,0.4584715525309245,0.49698959092299144
26,28,0.5271565943956376,0.48382571240266165,0.4522919674714406,0.50982379813989
27,29,0.5314740230639775,0.4798159976800283,0.43472110033035277,0.5173845648765564
28,30,0.4963866929213206,0.4747591515382131,0.4716867784659068,0.5245187093814214
29,31,0.5287585496902466,0.47210728923479717,0.443323540687561,0.5126779466867447
30,32,0.5002860784530639,0.4835911830266317,0.4707615037759145,0.5040414174397786
31,33,0.5073805491129557,0.47870352466901145,0.4459730794032415,0.4972951342662176
32,34,0.5156643311182658,0.4783850332101186,0.4518979440132777,0.5048497041066488
33,35,0.5090322395165762,0.4812593191862106,0.4461991955836614,0.5119415471951166
