User_ID,I/E,S/N,T/F,J/P
1,0.62416771473363,0.679336083742479,0.375130652349132,0.51448015421629
2,0.340365796792321,0.724312480104466,0.733770184467236,0.653158620558679
3,0.336111327493563,0.521753811215361,0.593695029957841,0.159687040071003
4,0.903019829342763,0.196971835475415,0.576331079254548,0.812043178391953
5,0.65947248977609,0.416322781859587,0.337038019920389,0.378363224677741
6,0.548848133441061,0.555974301292251,0.543752344387273,0.537855071015656
7,0.658697309376051,0.676855631001915,0.469787044233332,0.664256743807346
8,0.583018855067591,0.610708316694945,0.494772414490581,0.574322600228091
10,0.583477763513413,0.546668417138668,0.47526792542388,0.421623797745754
11,0.583018876363834,0.610708351992071,0.494772481514762,0.574322606250644
12,0.174073773622513,0.85248617430528,0.119309228026153,0.128414503477203
13,0.181877504498698,0.751439812903603,0.808804418084522,0.116112333796142
14,0.759680903454622,0.45655091094474,0.137588360284766,0.502451168000698
15,0.682856011165616,0.456412386894226,0.447892405247937,0.590474667027593
16,0.440759538610776,0.685352187107007,0.383380292728543,0.513259475274632
17,0.178353681147564,0.483878409552078,0.726718250662088,0.24987969622404
19,0.819579523553451,0.349319486040622,0.110998493180765,0.59915688149631
20,0.411551849435394,0.733576806013783,0.383346210800422,0.558988423645496
21,0.508312560307483,0.437162094656378,0.47382857358704,0.128645746285717
22,0.433957693446428,0.451126233053704,0.240750738124674,0.515456791594625
23,0.516328462213278,0.434746572514996,0.481059136629725,0.280084285473761
24,0.751019275964548,0.706384638448556,0.194169472840925,0.619000757547716
25,0.605485921135793,0.742935438516239,0.6705835823901,0.35298077580519
26,0.505607656599022,0.647213969674582,0.259719646326266,0.40964622128134
27,0.264713514829054,0.434618772442142,0.528922153450549,0.389638843627957
28,0.372428207254658,0.742584879354884,0.471441364272808,0.401017262553796
29,0.66357626405855,0.546847154510518,0.168820297609394,0.576516898473104
30,0.386670985848953,0.375008478000139,0.503546002538254,0.566461823042482
31,0.829875083267689,0.792420392421385,0.367745285624793,0.83506148904562
32,0.279853230326747,0.61842863317579,0.751849919060866,0.202900287664185
33,0.398521231984099,0.40103835654445,0.622481270258625,0.420503812019403
34,0.652889829718818,0.427785862827053,0.426395593459407,0.64052572256575
35,0.478046322676043,0.652139898762107,0.31242249654606,0.51837690367053
36,0.560462596050153,0.476227621951451,0.549178704960893,0.627083701392015
37,0.319522529343764,0.482825900614262,0.504494534091403,0.521722540073097
38,0.247260654779772,0.594705892850955,0.75386397720625,0.20255178999311
39,0.753477289713919,0.633510433913519,0.260645752392399,0.594669851257155
40,0.378933454553286,0.728613309251765,0.360378260739769,0.473673535479853
41,0.363250188684712,0.414453644972915,0.661426165762047,0.38689029115097
42,0.449979098839685,0.514464592933655,0.62296024505049,0.528489776949088
43,0.447753950053205,0.555305029389759,0.202139265850807,0.56184892008702
44,0.525987165421247,0.684052181492249,0.490092046000063,0.36438781414181
45,0.601043987320736,0.350135006724546,0.266363261127844,0.489649432338774
46,0.512549527222291,0.388307146002383,0.708452105460068,0.749096286048492
